start	end	text
316160	317160	Hola, mamá. ¿Y la cena?
317160	319160	Está en la cocina.
319160	320160	¿Yo qué hice?
320160	321160	Nada, come.
327160	330160	¿Así que ninguno puede subir al vehículo de Edward?
330160	333160	No, pero mi hermana dice que saldrá con él de todos modos.
333160	335160	No sé por qué mamá nos impone tantas reglas.
335160	337160	Es que se preocupa por ustedes.
337160	339160	¿Por qué no sabemos cuidar solos?
339160	341160	Estás seguro de lo que dices.
341160	342160	Tu hermana parece enamorada.
342160	343160	Sí, es un asco, ¿no?
343160	344160	Sí.
344160	346160	¿Y qué quieres hacer esta tarde?
346160	348160	Edward le pondrá un estereo a su auto
348160	350160	y le prometí pasar por el lavadero a verlo.
350160	351160	Pero creí que tu madre dijo...
351160	353160	Dijo que no podía subir al auto.
353160	354160	Sólo voy a ver el estereo.
354160	355160	¿Por qué no vienes?
355160	356160	Prefiero no ir.
356160	357160	¿Por qué?
357160	359160	Mamá no quiere que vaya allí.
359160	361160	Mamá es igual, pero ¿cómo podrá averiguarlo?
361160	362160	No lo sé.
362160	364160	Deja de pensar y vamos.
364160	365160	No puedo.
365160	367160	Bueno, te veré en la práctica.
367160	370160	Llega tiempo, el coach ya está enojado contigo.
370160	372160	No faltaré.
372160	393160	Lo siento, amigo. Debo realizar un trámite.
393160	394160	Es el adelanto.
394160	396160	Te dará el resto cuando te traigues.
396160	397160	Ah, de acuerdo.
397160	398160	Listo.
398160	400160	Bueno, ¿quedamos bien para mañana?
400160	401160	Ocho y media.
401160	402160	Nos veremos.
402160	403160	Y llega tiempo.
405160	406160	A un lado, amigo.
408160	409160	¿Qué te pasa?
409160	410160	¿De dónde sacas el dinero?
410160	412160	Oye, soy muy trabajador.
412160	413160	¿Tanto te pagan por aquí?
413160	414160	Claro que no.
414160	416160	Pero tengo otros empleos.
416160	417160	Qué suerte.
417160	418160	Me gustaría trabajar.
418160	420160	¿Qué haría un chiquillo como tú con el dinero?
420160	421160	No lo sé.
421160	423160	Todo tipo de cosas.
423160	424160	No me digas.
424160	426160	Pues tal vez puede ayudarte.
426160	427160	¿Cómo?
427160	428160	¿Trabajarás para mí?
428160	430160	¿Puedes empezar mañana a la tarde?
430160	432160	Claro, después de nuestro partido.
432160	433160	De acuerdo.
433160	434160	Todo arreglado.
447160	449160	Gracias por acompañarnos, Martínez.
449160	450160	Gracias.
450160	452160	No sirvió de nada la charla de ayer.
452160	454160	Bueno, pensé que llegaría tiempo.
454160	456160	Rápido, bateas después de Fernández.
456160	459160	Sony, tú vas después de Alfredo.
461160	463160	¿Me perdí de algo?
465160	466160	Oye, ¿qué te pasa?
466160	468160	No te permiten viajar en ese auto.
468160	470160	Era la única forma de llegar aquí.
470160	472160	Tu madre te castigara.
472160	473160	Solo que se lo cuentes.
473160	474160	Y llegaste tarde.
474160	475160	¿Qué te pasa?
475160	477160	¿No te interesa tu persona
477160	478160	ni el equipo ni nada?
478160	479160	¿Te das cuenta, Alfredo?
479160	480160	Claro que sí.
480160	482160	Pues no me parece.
482160	484160	Prometiste que estarías a tiempo.
484160	485160	Aquí estoy.
485160	486160	Tarde.
486160	487160	Es que no me di cuenta de la hora.
487160	488160	¿Por qué?
488160	490160	Porque hablamos de trabajo.
490160	491160	¿Cómo?
491160	492160	Edward me dio un trabajo.
492160	493160	¿Haciendo qué?
493160	494160	Entregando paquetes.
494160	496160	¿Qué clase de paquetes?
496160	497160	No lo sé, no me dijo.
497160	499160	Oye, no deberías aceptar eso.
499160	500160	Te meteras en problemas.
500160	501160	No es cierto.
501160	503160	¿Por qué te preocupas tanto por lo que hago?
503160	504160	Eres mi amigo.
504160	506160	No quiero que te metas en problemas.
506160	507160	¿Por qué lo dices?
507160	508160	Has cambiado.
508160	509160	No es verdad.
509160	510160	Sí lo es.
510160	511160	Martínez, es tu turno.
511160	514160	Ya deja de preocuparte por mí, ¿de acuerdo?
514160	516160	Tu madre te matará.
517160	519160	Hoy estoy bien.
531160	533160	Vamos, mamá, hace tarde.
533160	534160	Tu hermana no ha vuelto.
534160	536160	Le dije que volviera antes de las 11.
536160	537160	No podemos esperar.
537160	539160	Debo llegar a tiempo.
539160	541160	Le daré unos minutos más.
541160	543160	Mamá, es un partido importante.
543160	544160	Prometí estar ahí.
544160	545160	Ya vámonos.
545160	548160	¿Cuándo será el día en que me hagan caso?
548160	550160	Lo intento, mamá, pero tienes tantas reglas.
550160	552160	Ustedes son mi vida.
552160	554160	Sólo tengo reglas para evitarles problemas.
554160	556160	No le habrá pasado algo.
556160	557160	No lo creo, mamá.
557160	558160	Vámonos.
558160	559160	Está bien, Alfredo.
559160	561160	Déjale una nota y dile que estaremos en el parque.
561160	563160	Traeré mis llaves.
568160	569160	Por favor, mamá, debemos irnos.
569160	571160	Me muevo lo más rápido que puedo, hijito.
571160	573160	Voy a llegar tarde.
574160	576160	No me estés apurando, por favor.
599160	602160	Alfredo, ¿no te has olvidado de algo?
602160	603160	Gracias.
612160	614160	Ya era hora de que llegaras.
614160	615160	¿Ya es tarde?
615160	618160	Aún no, pero ya están por empezar a practicar.
618160	620160	Fue por culpa de mi hermana. No ha vuelto a casa.
620160	621160	Vamos.
632160	634160	¡Boron!
634160	636160	¡Esos, Salón!
636160	638160	¡F guarding!
638160	640160	¡Boron!
640160	641160	¡Boron!
641160	643160	¡Nos hemos escuchado!
643160	645160	¡Muy bien, Alfredo!
645160	646160	¡Muy bien!
646160	647160	¡Muy bien!
647160	648160	¡Ven!
648160	649160	¡Ven!
650160	651160	¡Ven!
651160	653160	¡Muy bien, Alfredo!
653160	654160	¡Ven!
654160	655160	¡Ven!
655160	656160	¡Ven!
656160	657160	¡Ven!
657160	659160	¡Boron!
660160	662160	¡De acuerdo chicos, vengan aquí!
663160	664160	¡Boron!
665160	667160	Sus posiciones están en la lista.
667160	669160	Revisenla y prepárense para tomarlas
669160	671160	en cuanto salga el otro equipo, ¿de acuerdo?
676160	678160	¿Estás en el banco?
678160	679160	Tú también.
679160	681160	Yo siempre estoy allí.
681160	683160	¡Oye! ¿A dónde vas ahora?
683160	685160	A ver, Igüar, ¿qué está pasando?
686160	687160	Señor.
687160	688160	Sí.
688160	689160	Hoy no juego.
689160	691160	Bueno, hoy solo jugarás una entrada.
691160	692160	¿Por qué?
692160	693160	Conocés las reglas.
693160	695160	Si no practicas, no juegas.
695160	696160	No puede hacerlo.
696160	697160	¡Ay, no!
697160	698160	Son las reglas.
698160	700160	Solo jugarás una entrada
700160	702160	en el jardín derecho, ¿entendido?
702160	703160	Pero soy muy buen jugador.
703160	705160	Este partido es importante.
705160	706160	Es cierto.
706160	707160	Necesito que juegues.
707160	708160	Pero hay muchos chicos
708160	710160	que han venido todos los días a tiempo
710160	711160	y se esmeran mucho.
711160	713160	No sería justo para ellos no dejarlos jugar.
713160	715160	Pero ellos quieren que juegue.
715160	716160	¿Y si perdemos?
716160	717160	Si perdemos, perdemos.
717160	719160	Cuando uno hace cosas equivocadas,
719160	720160	lastima a todos.
720160	721160	No es justo.
721160	722160	Pues te diré una cosa.
722160	724160	Será mejor que te acostumbres, Alfredo,
724160	725160	porque tendrás que respetar
725160	727160	reglas ajenas toda tu vida.
727160	729160	Ahora vamos al ataque.
729160	730160	Ve a sentarte.
730160	731160	Bueno.
731160	732160	A animar a tu equipo
732160	733160	desde la banca.
733160	734160	Vamos.
736160	737160	¿Vas a jugar?
737160	738160	Solo una entrada.
738160	739160	¿Perderemos?
739160	740160	Lo siento.
740160	741160	Rompí las reglas.
741160	742160	Qué terrible.
742160	743160	No perderán.
743160	744160	Busco a la señora Silvia Martínez.
744160	745160	Silvia Martínez?
745160	747160	Sí, yo soy Silvia Martínez.
747160	748160	Lamento alarmarla.
748160	749160	Puedo acompañarme.
749160	750160	¿Qué pasó?
750160	751160	Es por su hija.
751160	752160	Teresa, ¿pero qué es lo que hizo?
752160	753160	¿Dónde está?
753160	754160	¡Mamá, dime!
756160	757160	¡Mamá, lo laminé!
757160	759160	Teresa, ¿pero qué sucedió?
759160	760160	¡Edward!
760160	762160	¿Edward qué estabas haciendo con Edward?
762160	763160	Escúchame, mamá.
763160	764160	Lo lastimaron.
764160	765160	El joven que estaba con su hija
765160	766160	vende drogas.
766160	767160	¿Drogas?
767160	768160	¿Edward ha muerto?
768160	770160	No, pero su auto quedó destruido.
770160	772160	Y él tiene el problema de las drogas.
772160	774160	No sabía nada de las drogas, mamá.
774160	775160	Te lo juro.
775160	777160	Creemos que su hija dice la verdad,
777160	778160	señora Martínez.
778160	780160	Hemos estado vigilando a ese joven
780160	781160	por mucho tiempo.
782160	783160	¿Trabajarás para mí?
783160	785160	¿Puedes comenzar mañana mismo?
785160	786160	Claro.
786160	787160	Después de mi partido.
787160	789160	¿De acuerdo en todo arreglado?
789160	790160	Edward me dará empleo.
790160	791160	Haciendo qué?
791160	792160	Entregando paquetes.
792160	793160	¿Qué clase de paquetes?
793160	794160	No lo sé.
794160	795160	No me dijo.
795160	796160	Pero ellos quieren que juegue.
796160	797160	¿Y si perdemos?
797160	799160	Si perdemos, perdemos.
799160	801160	Cuando uno hace cosas malas,
801160	802160	lastima a los demás.
802160	804160	No entiendo por qué no me hacen caso.
804160	805160	Lo intento,
805160	807160	pero tienes tantas reglas.
807160	809160	Ustedes son mi vida.
809160	811160	Tengo reglas para evitarles problemas.
811160	813160	¿Por qué te preocupas tanto por mí?
813160	814160	Eres mi amigo
814160	816160	y no quiero que te metas en problemas.
816160	817160	Alfredo.
819160	820160	Alfredo.
820160	821160	Alfredo.
821160	822160	Sí, mamá.
822160	823160	Tú quédate con Sonya
823160	824160	hasta que volvamos.
824160	825160	¿De acuerdo?
825160	826160	Te acuerdo.
826160	828160	Todo por no hacerle caso a mamá.
828160	830160	Sí, es cierto.
858160	859160	¡Para mí!
888160	890160	Subtítulos por la comunidad de Amara.org
